for_date,daily_mape,zone,model
2026-06-27 19:30:00,,CAC,XGBoost
2026-06-27 20:00:00,,CAC,XGBoost
2026-06-27 20:30:00,,CAC,XGBoost
2026-06-27 21:00:00,,CAC,XGBoost
2026-06-27 21:30:00,,CAC,XGBoost
2026-06-27 22:00:00,,CAC,XGBoost
2026-06-27 22:30:00,,CAC,XGBoost
2026-06-27 23:00:00,,CAC,XGBoost
2026-06-27 23:30:00,,CAC,XGBoost
2026-06-28 00:00:00,,CAC,XGBoost
2026-06-28 00:30:00,,CAC,XGBoost
2026-06-28 01:00:00,,CAC,XGBoost
2026-06-28 01:30:00,,CAC,XGBoost
2026-06-28 02:00:00,,CAC,XGBoost
2026-06-28 02:30:00,,CAC,XGBoost
2026-06-28 03:00:00,,CAC,XGBoost
2026-06-28 03:30:00,,CAC,XGBoost
2026-06-28 04:00:00,,CAC,XGBoost
2026-06-28 04:30:00,,CAC,XGBoost
2026-06-28 05:00:00,,CAC,XGBoost
2026-06-28 05:30:00,,CAC,XGBoost
2026-06-28 06:00:00,,CAC,XGBoost
2026-06-28 06:30:00,,CAC,XGBoost
2026-06-28 07:00:00,,CAC,XGBoost
2026-06-28 07:30:00,,CAC,XGBoost
2026-06-28 08:00:00,,CAC,XGBoost
2026-06-28 08:30:00,,CAC,XGBoost
2026-06-28 09:00:00,,CAC,XGBoost
2026-06-28 09:30:00,,CAC,XGBoost
2026-06-28 10:00:00,,CAC,XGBoost
2026-06-28 10:30:00,,CAC,XGBoost
2026-06-28 11:00:00,,CAC,XGBoost
2026-06-28 11:30:00,,CAC,XGBoost
2026-06-28 12:00:00,,CAC,XGBoost
2026-06-28 12:30:00,,CAC,XGBoost
2026-06-28 13:00:00,,CAC,XGBoost
2026-06-28 13:30:00,,CAC,XGBoost
2026-06-28 14:00:00,,CAC,XGBoost
2026-06-28 14:30:00,,CAC,XGBoost
2026-06-28 15:00:00,,CAC,XGBoost
2026-06-28 15:30:00,,CAC,XGBoost
2026-06-28 16:00:00,,CAC,XGBoost
2026-06-28 16:30:00,,CAC,XGBoost
2026-06-28 17:00:00,,CAC,XGBoost
2026-06-28 17:30:00,,CAC,XGBoost
2026-06-28 18:00:00,,CAC,XGBoost
2026-06-28 18:30:00,,CAC,XGBoost
2026-06-28 19:00:00,,CAC,XGBoost
2026-06-28 19:30:00,,CAC,XGBoost
2026-06-28 20:00:00,,CAC,XGBoost
2026-06-28 20:30:00,,CAC,XGBoost
2026-06-28 21:00:00,,CAC,XGBoost
2026-06-28 21:30:00,,CAC,XGBoost
2026-06-28 22:00:00,,CAC,XGBoost
2026-06-28 22:30:00,,CAC,XGBoost
2026-06-28 23:00:00,,CAC,XGBoost
2026-06-28 23:30:00,,CAC,XGBoost
2026-06-29 00:00:00,,CAC,XGBoost
2026-06-29 00:30:00,,CAC,XGBoost
2026-06-29 01:00:00,,CAC,XGBoost
2026-06-29 01:30:00,,CAC,XGBoost
2026-06-29 02:00:00,,CAC,XGBoost
2026-06-29 02:30:00,,CAC,XGBoost
2026-06-29 03:00:00,,CAC,XGBoost
2026-06-29 03:30:00,,CAC,XGBoost
2026-06-29 04:00:00,,CAC,XGBoost
2026-06-29 04:30:00,,CAC,XGBoost
2026-06-29 05:00:00,,CAC,XGBoost
2026-06-29 05:30:00,,CAC,XGBoost
2026-06-29 06:00:00,,CAC,XGBoost
2026-06-29 06:30:00,,CAC,XGBoost
2026-06-29 07:00:00,,CAC,XGBoost
2026-06-29 07:30:00,,CAC,XGBoost
2026-06-29 08:00:00,,CAC,XGBoost
2026-06-29 08:30:00,,CAC,XGBoost
2026-06-29 09:00:00,,CAC,XGBoost
2026-06-29 09:30:00,,CAC,XGBoost
2026-06-29 10:00:00,,CAC,XGBoost
2026-06-29 10:30:00,,CAC,XGBoost
2026-06-29 11:00:00,,CAC,XGBoost
2026-06-29 11:30:00,,CAC,XGBoost
2026-06-29 12:00:00,,CAC,XGBoost
2026-06-29 12:30:00,,CAC,XGBoost
2026-06-29 13:00:00,,CAC,XGBoost
2026-06-29 13:30:00,,CAC,XGBoost
2026-06-29 14:00:00,,CAC,XGBoost
2026-06-29 14:30:00,,CAC,XGBoost
2026-06-29 15:00:00,,CAC,XGBoost
2026-06-29 15:30:00,,CAC,XGBoost
2026-06-29 16:00:00,,CAC,XGBoost
2026-06-29 16:30:00,,CAC,XGBoost
2026-06-29 17:00:00,,CAC,XGBoost
2026-06-29 17:30:00,,CAC,XGBoost
2026-06-29 18:00:00,,CAC,XGBoost
2026-06-29 18:30:00,,CAC,XGBoost
2026-06-29 19:00:00,,CAC,XGBoost
2026-06-29 19:30:00,,CAC,XGBoost
2026-06-29 20:00:00,,CAC,XGBoost
2026-06-29 20:30:00,,CAC,XGBoost
2026-06-29 21:00:00,,CAC,XGBoost
2026-06-29 21:30:00,,CAC,XGBoost
2026-06-29 22:00:00,,CAC,XGBoost
2026-06-29 22:30:00,,CAC,XGBoost
2026-06-29 23:00:00,,CAC,XGBoost
2026-06-29 23:30:00,,CAC,XGBoost
2026-06-30 00:00:00,,CAC,XGBoost
2026-06-24 00:30:00,0.9540467033997196,CAC,LightGBM
2026-06-24 01:00:00,1.7609883981705685,CAC,LightGBM
